#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321AA2D13
#Date Time: 2024-01-11 13:02:41.574
#Start: 500 Hz
#Stop: 5e+06 Hz
#Steps: 500
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.51459 V
#Offset: -0.000249803 V
#Relative: no
#Channel: Channel 2
#Range: 5.61338 V
#Offset: -0.000167248 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
500,-1.030439578414393,0.080871180139784,0.06982134782221205
509.3144951223438,-1.02903145465018,0.08879278670379884,0.0427678492416006
518.8025098834559,-1.008115871873629,0.08595680479070783,0.09170721252413472
528.4672767789942,-1.038215446059132,0.09267755517354188,-0.05723095839774572
538.3120885227466,-1.019026485133882,0.09773539384346523,-0.03052315948936268
548.3402991684343,-1.045468776164816,0.1052682042358808,0.1714313301433066
558.5553252524121,-1.067540556171055,0.09463365221863621,0.05269240590047275
568.9606469576576,-1.026174623659238,0.07517265379304423,0.103449700618981
579.5598092994428,-1.050222077709749,0.07933019118241938,0.1119640361959
590.3564233330951,-1.039201003806249,0.08389905204402756,-0.07465804818322397
601.354167384256,-1.047975234248752,0.1019927115789686,0.06170190984997248
612.5567883020595,-1.048917337107823,0.1070016369360957,-0.007730203613879105
623.9681027356557,-1.02582800046417,0.1025505964117672,-0.004236134930756918
635.5919984345145,-1.006714285533161,0.07717435613470933,-0.06122921192933362
647.4324355729525,-1.026475373614048,0.1014590510904578,0.1058662776578956
659.4934480993352,-1.080456384116468,0.09322422511389564,0.09300645979055133
671.7791451104132,-1.021333570304134,0.08153377719817223,0.05005007385136651
684.2937122512596,-1.036808338529444,0.1148734175204288,-0.002895627382173416
697.0414131412894,-1.019757804273333,0.08670370875721664,0.09469828722003371
710.0265908268416,-0.9968736381117848,0.07270320026608584,0.1409249812461155
723.2536692608236,-1.011735747220795,0.08238106504610897,0.047723111483716
736.7271548099179,-1.032992940277592,0.08947669147573299,0.1281725170985766
750.4516377898683,-1.00543161825461,0.08996817862047327,0.01269826152719844
764.4317940293656,-1.049454512393688,0.1019140411412044,0.0752895405363887
778.6723864630676,-1.025939410290632,0.08979361669040899,0.1393666057124108
793.1782667542957,-1.011882746300087,0.09579426202868752,0.1122487326741002
807.9543769479596,-1.012160879925613,0.06776351965932127,-0.05369552730731186
823.0057511542749,-1.02820076101373,0.06929128545064865,0.1472551263004718
838.3375172638505,-1.045074506008122,0.09131759517871738,0.1452676429308468
853.9548986947134,-1.020798102482166,0.09258264413427564,-0.05004828745863676
869.8632161719003,-1.056095574817898,0.1047068573579574,0.01706014650469001
886.0678895401792,-1.016338620955022,0.09861478028126644,0.1012602575467128
902.574439610554,-1.050509111587173,0.1004917521076352,0.03339235903462168
919.3884900411634,-1.020005393097162,0.08383341936560178,0.1826619277708517
